sealID,Latitude,Longitude
5,49.4919,-124.6619
5,49.4919,-124.6619
5,49.4901,-124.6609
5,49.4925,-124.6541
5,49.5138,-124.5709
5,49.5122,-124.5687
5,49.5142,-124.5712
5,49.5132,-124.5706
5,49.5134,-124.5707
5,49.5137,-124.5711
5,49.5133,-124.5708
5,49.5134,-124.5707
5,49.5134,-124.5707
5,49.5134,-124.5707
5,49.513,-124.5703
5,49.5133,-124.5707
5,49.5157,-124.577
5,49.5153,-124.5772
5,49.5072,-124.6254
5,49.5068,-124.6252
5,49.507,-124.6294
5,49.5072,-124.6294
5,49.5074,-124.6247
5,49.5128,-124.5701
5,49.5133,-124.5699
5,49.513,-124.5702
5,49.5127,-124.5699
5,49.5129,-124.5701
5,49.5126,-124.5693
5,49.5135,-124.5692
5,49.5137,-124.571
5,49.5137,-124.5709
5,49.3778,-124.5356
5,49.3778,-124.5355
5,49.3777,-124.5355
5,49.3777,-124.5433
5,49.3782,-124.545
5,49.378,-124.5435
5,49.3748,-124.5318
5,49.3748,-124.5318
5,49.3764,-124.5328
5,49.3767,-124.5339
5,49.378,-124.5356
5,49.3778,-124.5375
5,49.3777,-124.5357
5,49.3776,-124.5349
5,49.3779,-124.5354
5,49.378,-124.5355
5,49.3779,-124.5358
5,49.3754,-124.5286
5,49.3757,-124.531
5,49.3753,-124.5315
5,49.3748,-124.5326
5,49.3748,-124.5319
5,49.3749,-124.532
5,49.3749,-124.5322
5,49.3749,-124.532
5,49.3748,-124.5318
5,49.5139,-124.5702
5,49.5134,-124.57
5,49.5138,-124.5706
5,49.514,-124.5706
5,49.514,-124.5702
5,49.5136,-124.5699
5,49.5133,-124.5702
5,49.513,-124.5701
5,49.5135,-124.5699
5,49.5134,-124.5699
5,49.5136,-124.5691
5,49.514,-124.57
5,49.5126,-124.57
5,49.5137,-124.5671
5,49.5135,-124.5694
5,49.5137,-124.5695
5,49.513,-124.5694
5,49.5131,-124.5693
5,49.5134,-124.5697
5,49.5136,-124.5696
5,49.5133,-124.5697
5,49.5135,-124.5697
5,49.5133,-124.5705
5,49.5135,-124.5711
5,49.513,-124.5697
5,49.5132,-124.5702
5,49.5134,-124.5709
5,49.5131,-124.5698
5,49.5141,-124.571
5,49.5133,-124.5709
5,49.513,-124.5701
5,49.513,-124.5697
5,49.5127,-124.5699
5,49.513,-124.5699
5,49.5133,-124.5697
5,49.5132,-124.5693
